temp,rich,Col,gsm1,AOP2.gsoh,AOP2,com,Cage,Week_match,BRBR_t,LYER_t,Ptoid_t,BRBR_t1,LYER_t1,Ptoid_t1,fweek,Biomass_g_t1,No_Plants,Biomass_g
23 C,2,0,1,0,1,gsm1_AOP2,60,6,0,10,36,0,0,15,6,1.773,8,2.084
23 C,2,0,1,0,1,gsm1_AOP2,60,7,0,0,15,0,0,0,7,2.262,8,1.773
23 C,2,0,1,0,1,gsm1_AOP2,60,8,0,0,0,0,0,0,8,2.255,8,2.262
23 C,2,0,1,0,1,gsm1_AOP2,60,9,0,0,0,0,0,0,9,1.457,8,2.255
23 C,2,0,1,0,1,gsm1_AOP2,60,10,0,0,0,0,0,0,10,1.73,8,1.457
23 C,2,0,1,0,1,gsm1_AOP2,60,11,0,0,0,0,0,0,11,0.935,8,1.73
23 C,2,0,1,0,1,gsm1_AOP2,60,12,0,0,0,0,0,0,12,1.516,8,0.935
23 C,2,0,1,0,1,gsm1_AOP2,60,13,0,0,0,0,0,0,13,1.329,8,1.516
23 C,2,0,1,0,1,gsm1_AOP2,60,14,0,0,0,0,0,0,14,0.826,8,1.329
23 C,2,0,1,0,1,gsm1_AOP2,60,15,0,0,0,0,0,0,15,0.503,8,0.826
23 C,2,0,1,0,1,gsm1_AOP2,60,16,0,0,0,0,0,0,16,1.032,7,0.503
